New Column 1,New Column 2,New Column 3,New Column 4,New Column 5,New Column 6,New Column 7,New Column 8
"0,000","0,250","0,250","0,500","0,250","0,250","0,250","0,750"
"0,000","0,250","0,500","0,750","0,500","0,500","0,500","1,000"
"0,000","0,500","1,000","1,250","1,000","1,000","1,000","1,500"
"0,000","0,500","1,250","1,750","1,500","1,250","1,250","1,500"
"0,000","1,000","2,250","2,750","2,750","2,250","2,250","2,250"
"0,500","1,250","2,750","3,000","3,250","2,750","2,750","2,750"
"0,500","1,500","3,000","3,000","3,250","3,250","3,250","3,500"
,,,,,,,
,,,,,,,
,,,,,,,
