County,1-Unit,2-Unit,3-Unit,4-Unit
Alameda,1089300,1394775,1685850,2095200
Alpine,726200,929850,1123900,1396800
Amador,726200,929850,1123900,1396800
Butte,726200,929850,1123900,1396800
Calaveras,726200,929850,1123900,1396800
Colusa,726200,929850,1123900,1396800
Contra Costa,1089300,1394775,1685850,2095200
Del Norte,726200,929850,1123900,1396800
El Dorado,763600,977550,1181650,1468500
Fresno,726200,929850,1123900,1396800
Glenn,726200,929850,1123900,1396800
Humboldt,726200,929850,1123900,1396800
Imperial,726200,929850,1123900,1396800
Inyo,726200,929850,1123900,1396800
Kern,726200,929850,1123900,1396800
Kings,726200,929850,1123900,1396800
Lake,726200,929850,1123900,1396800
Lassen,726200,929850,1123900,1396800
Los Angeles,1089300,1394775,1685850,2095200
Madera,726200,929850,1123900,1396800
Marin,1089300,1394775,1685850,2095200
Mariposa,726200,929850,1123900,1396800
Mendocino,726200,929850,1123900,1396800
Merced,726200,929850,1123900,1396800
Modoc,726200,929850,1123900,1396800
Mono,726200,929850,1123900,1396800
Monterey,915400,1171900,1416550,1760400
Napa,1017750,1302900,1574900,1957250
Nevada,726200,929850,1123900,1396800
Orange,1089300,1394775,1685850,2095200
Placer,763600,977550,1181650,1468500
Plumas,726200,929850,1123900,1396800
Riverside,726200,929850,1123900,1396800
Sacramento,763600,977550,1181650,1468500
San Benito,1089300,1394775,1685850,2095200
San Bernardino,726200,929850,1123900,1396800
San Diego,977500,1251400,1512650,1879850
San Francisco,1089300,1394775,1685850,2095200
San Joaquin,726200,929850,1123900,1396800
San Luis Obispo,911950,898050,1085550,2095200
San Mateo,1089300,1394775,1685850,2095200
Santa Barbara,805000,845050,1021450,1269450
Santa Clara,1089300,1394775,1685850,2095200
Santa Cruz,1089300,1394775,1685850,2095200
Shasta,726200,929850,1123900,1396800
Sierra,726200,929850,1123900,1396800
Siskiyou,726200,929850,1123900,1396800
Solano,685400,705200,852400,1059350
Sonoma,861350,905400,1094450,1360100
Stanislaus,726200,929850,1123900,1396800
Sutter,726200,929850,1123900,1396800
Tehama,726200,929850,1123900,1396800
Trinity,726200,929850,1123900,1396800
Tulare,726200,929850,1123900,1396800
Tuolumne,726200,929850,1123900,1396800
Ventura,948750,946650,1144250,1422050
Yolo,763600,977550,1181650,1468500
Yuba,726200,929850,1123900,1396800
