County,1-Unit,2-Unit,3-Unit,4-Unit
Alameda,822375,1053000,1272750,1581750
Alpine,548250,702000,848500,1054500
Amador,548250,702000,848500,1054500
Butte,548250,702000,848500,1054500
Calaveras,548250,702000,848500,1054500
Colusa,548250,702000,848500,1054500
Contra Costa,822375,1053000,1272750,1581750
Del Norte,548250,702000,848500,1054500
El Dorado,598000,765550,925350,1150000
Fresno,548250,702000,848500,1054500
Glenn,548250,702000,848500,1054500
Humboldt,548250,702000,848500,1054500
Imperial,548250,702000,848500,1054500
Inyo,548250,702000,848500,1054500
Kern,548250,702000,848500,1054500
Kings,548250,702000,848500,1054500
Lake,548250,702000,848500,1054500
Lassen,548250,702000,848500,1054500
Los Angeles,822375,1053000,1272750,1581750
Madera,548250,702000,848500,1054500
Marin,822375,1053000,1272750,1581750
Mariposa,548250,702000,848500,1054500
Mendocino,548250,702000,848500,1054500
Merced,548250,702000,848500,1054500
Modoc,548250,702000,848500,1054500
Mono,529000,677200,818600,1017300
Monterey,739450,946650,1144250,1422050
Napa,816500,1045250,1263500,1570200
Nevada,548250,702000,848500,1054500
Orange,822375,1053000,1272750,1581750
Placer,598000,765550,925350,1150000
Plumas,548250,702000,848500,1054500
Riverside,548250,702000,848500,1054500
Sacramento,552000,706650,854200,1061550
San Benito,822375,1053000,1272750,1581750
San Bernardino,548250,702000,848500,1054500
San Diego,753250,964300,1165600,1448600
San Francisco,822375,1053000,1272750,1581750
San Joaquin,548250,702000,848500,1054500
San Luis Obispo,701500,898050,1085550,1581750
San Mateo,822375,1053000,1272750,1581750
Santa Barbara,660100,845050,1021450,1269450
Santa Clara,822375,1053000,1272750,1581750
Santa Cruz,822375,1053000,1272750,1581750
Shasta,548250,702000,848500,1054500
Sierra,548250,702000,848500,1054500
Siskiyou,548250,702000,848500,1054500
Solano,550850,705200,852400,1059350
Sonoma,707250,905400,1094450,1360100
Stanislaus,548250,702000,848500,1054500
Sutter,548250,702000,848500,1054500
Tehama,548250,702000,848500,1054500
Trinity,548250,702000,848500,1054500
Tulare,548250,702000,848500,1054500
Tuolumne,548250,702000,848500,1054500
Ventura,739450,946650,1144250,1422050
Yolo,598000,765550,925350,1150000
Yuba,548250,702000,848500,1054500
